,Date,SP Trailing 4 Weeks Return,Forward Return,SP Trailing 1 Week Return,MoMGrowthChange,unemp_rate,T10Y2Y,mom2diff,maxtight,ShillerOver,CPIDev,CPIOver,detrendedyield,Drawdown% 252,Drawdown% 132,Drawdown% 66,Drawdown% 7,Drawdown% 2,RollingConsConf,RollingExpInfl,RollingHousing,Anomaly,Preds
963,2001-05-11,0.0742909399898807,-0.0006294228944795,-0.0088909764507342,-0.0003625928336951,4.5,1.15,0.0194379470563692,0.6343696946265546,10.762210359352558,0.0372120496160659,0.0372120496160659,-4.136835499431342,-27.454514105948974,-21.204308964984754,-17.068205801117646,-1.6532272481996797,-0.7576610015040212,-0.0338939714485457,0.0369486255549473,0.0030430896921013,0.0359628031173947,-0.009538098
964,2001-05-18,0.0406489909747671,-0.0621346980808712,0.0216381542333099,-0.0003625928336951,4.5,1.04,0.0232837208945149,0.6343696946265546,10.75410543312887,0.0372120496160659,0.0372120496160659,-3.971307305427477,-27.454514105948974,-20.065929645681223,-15.234379909312716,-0.7360916787795917,0.0,-0.0338939714485457,0.0369486255549473,0.0030430896921013,0.0250697478210277,-0.02934179
965,2001-05-25,0.0524272992433874,-0.057664549769395,0.0349997635659415,-0.0003625928336951,4.5,1.21,0.0232837208945149,0.6343696946265546,10.74600050690518,0.0372120496160659,0.0372120496160659,-3.821282516563304,-27.454514105948974,-20.065929645681223,-12.52256803372441,-2.661421705462252,-1.181594746059644,-0.0338939714485457,0.0369486255549473,0.0030430896921013,0.0269987574504623,-0.047423903
966,2001-06-01,-0.0083857076596899,-0.0189978919204228,-0.0434252810142686,-0.0003625928336951,4.4,1.17,0.0232837208945149,0.6343696946265546,9.737895580681489,0.0372120496160659,0.0372120496160659,-3.6246792529289,-27.454514105948974,-20.065929645681223,-12.30090686837191,-3.4867872250628658,0.0,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.0198303806345543,-0.034111056
967,2001-06-08,0.0124960437486387,-0.0612234792257918,0.0071217707949537,-0.0003625928336951,4.4,1.21,0.0233677686336442,0.6343696946265546,9.729790654457798,0.0372120496160659,0.0372120496160659,-3.5329800279704955,-27.454514105948974,-20.065929645681223,-9.915224995055652,-1.4498614123340885,-0.9397318919216554,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.0212373697267548,-0.04135291
968,2001-06-15,-0.0236665607598408,-0.0142802462680778,-0.0496271756409056,0.0600913379103233,4.4,1.26,0.0278096772259992,0.6343696946265546,9.721685728234108,0.0372120496160659,0.0372120496160659,-3.475907280327238,-27.454514105948974,-19.68945748541177,-7.500588347256079,-4.902266124301874,-0.4516882772492226,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.027250071803464,-0.019746322
969,2001-06-22,-0.0552474954180981,-0.0371936302081975,-0.0149778531585044,0.0600913379103233,4.4,1.21,0.0312870171345753,0.6343696946265546,9.71358080201042,0.0372120496160659,0.0372120496160659,-3.471559703409447,-27.454514105948974,-19.68945748541177,-7.952279109892666,-0.9450028380182344,-0.9450028380182344,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.0260379993009597,-0.038723826
970,2001-06-29,-0.0175309320341764,-0.0176805843287671,0.0112322449741808,0.0600913379103233,4.4,1.17,0.0312870171345753,0.6343696946265546,9.705475875786725,0.0372120496160659,0.0372120496160659,-3.3993250427813813,-27.454514105948974,-19.68945748541177,-7.952279109892666,-2.09937366240135,-0.1484216572772804,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.02100012656307,-0.038934406
971,2001-07-06,-0.050117998041846,0.0083068184113443,0.00052520487548,0.0600913379103233,4.5,1.25,0.0238624341053341,0.6343696946265546,9.697370949563036,0.0372120496160659,0.0372120496160659,-3.2747067035827264,-27.454514105948974,-19.68945748541177,-9.31118227997556,-3.730028298692851,-2.3498265020453517,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.0221093757593455,-0.045501407
972,2001-07-13,-0.0379901754707923,-0.0200628566488236,-0.0231094805062769,0.0527301104841482,4.5,1.15,0.0317278381381367,0.6343696946265546,9.689266023339345,0.0372120496160659,0.0372120496160659,-3.1850563338541,-27.454514105948974,-19.68945748541177,-10.104119100267113,-3.203629870763097,0.0,-0.0534317419423391,0.0189123601228485,0.0044161791287045,0.0193930352217548,-0.0354092
