Date,T10Y2Y,Close,TenYield,CPIUS,m2,unemp_rate,Trade Balance,Shiller_PE,Inverted12months,SP Daily Return,Cumulative Returns,Trade Balance MoM,Trade Balance YoY,Trade Balance Rolling 12,Real_Yield,CPI YoY
2000-02-02,-0.03,1409.11999511719,6.59800004959106,169.7,4683.7,4.1,-29241,42.18,1,-0.000113557402617426,-0.0409256456578607,0,-0.0442095489768953,0.00736825816281591,-0.622768227622997,
2000-02-03,-0.07,1424.96997070313,6.47499990463257,169.7,4683.7,4.1,-29241,42.18,1,0.011248137590028,-0.0301378453611532,0,-0.0442095489768953,0.0110523872442239,-0.662768227622997,
2000-02-04,-0.1,1424.36999511719,6.51700019836426,169.7,4683.7,4.1,-29241,42.18,1,-0.000421044371651913,-0.030546200362642,0,-0.0442095489768953,0.0147365163256318,-0.692768227622997,
2000-02-05,-0.1,1424.36999511719,6.51700019836426,169.7,4683.7,4.1,-29241,42.18,1,0,-0.030546200362642,0,-0.0442095489768953,0.0184206454070398,-0.692768227622997,
2000-02-06,-0.1,1424.36999511719,6.51700019836426,169.7,4683.7,4.1,-29241,42.18,1,0,-0.030546200362642,0,-0.0442095489768953,0.0221047744884477,-0.692768227622997,
2000-02-07,-0.04,1424.23999023438,6.63100004196167,169.7,4683.7,4.1,-29241,42.18,1,-9.12718487879882E-05,-0.0306346842032494,0,-0.0442095489768953,0.0257889035698557,-0.632768227622997,
2000-02-08,-0.1,1441.71997070313,6.59899997711182,169.7,4683.7,4.1,-29241,42.18,1,0.0122731987506357,-0.0187374710205032,0,-0.0442095489768953,0.0294730326512636,-0.692768227622997,
2000-02-09,-0.13,1411.7099609375,6.66900014877319,169.7,4683.7,4.1,-29241,42.18,1,-0.0208154221176454,-0.0391628647694396,0,-0.0442095489768953,0.0331571617326716,-0.722768227622997,
2000-02-10,0,1416.82995605469,6.6560001373291,169.7,4683.7,4.1,-29241,42.18,1,0.00362680384700798,-0.0356780969510373,0,-0.0442095489768953,0.0368412908140795,-0.592768227622997,
2000-02-11,-0.02,1387.11999511719,6.62099981307983,169.7,4683.7,4.1,-29241,42.18,1,-0.0209693201435622,-0.0558992716575202,0,-0.0442095489768953,0.0405254198954875,-0.612768227622997,
2000-02-12,-0.02,1387.11999511719,6.62099981307983,169.7,4683.7,4.1,-29241,42.18,1,0,-0.0558992716575202,0,-0.0442095489768953,0.0442095489768954,-0.612768227622997,
2000-02-13,-0.02,1387.11999511719,6.62099981307983,169.7,4683.7,4.1,-29241,42.18,1,0,-0.0558992716575202,0,0,0.0405254198954875,-0.02,
2000-02-14,-0.06,1389.93994140625,6.53900003433228,169.7,4683.7,4.1,-29241,42.18,1,0.00203295050103014,-0.0539799616088135,0,0,0.0368412908140795,-0.06,
2000-02-15,-0.1,1402.05004882813,6.55200004577637,169.7,4683.7,4.1,-29241,42.18,1,0.00871268395210145,-0.0457375880019562,0,0,0.0331571617326716,-0.1,
2000-02-16,-0.07,1387.67004394531,6.54699993133545,169.7,4683.7,4.1,-29241,42.18,1,-0.0102564133818417,-0.0555248977741614,0,0,0.0294730326512636,-0.07,
2000-02-17,-0.11,1388.26000976563,6.56899976730347,169.7,4683.7,4.1,-29241,42.18,1,0.00042514848748576,-0.0551233556129821,0,0,0.0257889035698557,-0.11,
2000-02-18,-0.17,1346.08996582031,6.48299980163574,169.7,4683.7,4.1,-29241,42.18,1,-0.0303761857639564,-0.0838251040869059,0,0,0.0221047744884477,-0.17,
2000-02-19,-0.17,1346.08996582031,6.48299980163574,169.7,4683.7,4.1,-29241,42.18,1,0,-0.0838251040869059,0,0,0.0184206454070398,-0.17,
2000-02-20,-0.17,1346.08996582031,6.48299980163574,169.7,4683.7,4.1,-29241,42.18,1,0,-0.0838251040869059,0,0,0.0147365163256318,-0.17,
2000-02-21,-0.17,1346.08996582031,6.48299980163574,169.7,4683.7,4.1,-29241,42.18,1,0,-0.0838251040869059,0,0,0.0110523872442239,-0.17,
2000-02-22,-0.21,1352.17004394531,6.34200000762939,169.7,4683.7,4.1,-29241,42.18,1,0.00451684380642026,-0.0796868851827032,0,0,0.00736825816281591,-0.21,
2000-02-23,-0.17,1360.68994140625,6.42700004577637,169.7,4683.7,4.1,-29241,42.18,1,0.0063009068268356,-0.0738880779947245,0,0,0.00368412908140795,-0.17,
2000-02-24,-0.16,1353.43005371094,6.34600019454956,169.7,4683.7,4.1,-29241,42.18,1,-0.00533544599279501,-0.0788292981378672,0,0,0,-0.16,
2000-02-25,-0.09,1333.35998535156,6.34100008010864,169.7,4683.7,4.1,-29241,42.18,1,-0.0148290399672635,-0.0924893752924529,0,0,0,-0.09,
2000-02-26,-0.09,1333.35998535156,6.34100008010864,169.7,4683.7,4.1,-29241,42.18,1,0,-0.0924893752924529,0,0,0,-0.09,
2000-02-27,-0.09,1333.35998535156,6.34100008010864,169.7,4683.7,4.1,-29241,42.18,1,0,-0.0924893752924529,0,0,0,-0.09,
2000-02-28,-0.1,1348.05004882813,6.41400003433228,169.7,4683.7,4.1,-29241,42.18,1,0.0110173273819143,-0.0824910336374843,0,0,0,-0.1,
2000-02-29,-0.11,1366.42004394531,6.40899991989136,169.7,4683.7,4.1,-29241,42.18,1,0.0136270868675512,-0.0699880592511052,0,0,0,-0.11,
2000-03-01,-0.13,1379.18994140625,6.37900018692017,171.1,4718,4.1,-30176,43.22,1,0.0093455138612184,-0.0612966197677378,-0.0319756506275435,-0.0319756506275435,0.00266463755229529,-0.954985268120226,
2000-03-02,-0.12,1381.76000976563,6.39599990844727,171.1,4718,4.1,-30176,43.22,1,0.00186346222678702,-0.0595473814765177,0,-0.0319756506275435,0.00532927510459058,-0.944985268120226,
2000-03-03,-0.11,1409.17004394531,6.37099981307983,171.1,4718,4.1,-30176,43.22,1,0.0198370440495936,-0.0408915814563118,0,-0.0319756506275435,0.00799391265688587,-0.934985268120226,
2000-03-04,-0.11,1409.17004394531,6.37099981307983,171.1,4718,4.1,-30176,43.22,1,0,-0.0408915814563118,0,-0.0319756506275435,0.0106585502091812,-0.934985268120226,
2000-03-05,-0.11,1409.17004394531,6.37099981307983,171.1,4718,4.1,-30176,43.22,1,0,-0.0408915814563118,0,-0.0319756506275435,0.0133231877614765,-0.934985268120226,
2000-03-06,-0.13,1391.28002929688,6.40899991989136,171.1,4718,4.1,-30176,43.22,1,-0.0126954264499904,-0.0530678718414999,0,-0.0319756506275435,0.0159878253137717,-0.954985268120226,
2000-03-07,-0.09,1355.61999511719,6.38299989700317,171.1,4718,4.1,-30176,43.22,1,-0.0256310975711406,-0.0773387816115781,0,-0.0319756506275435,0.018652462866067,-0.914985268120226,
2000-03-08,-0.12,1366.69995117188,6.375,171.1,4718,4.1,-30176,43.22,1,0.00817334953349502,-0.0697975489726892,0,-0.0319756506275435,0.0213171004183623,-0.944985268120226,
2000-03-09,-0.13,1401.68994140625,6.34100008010864,171.1,4718,4.1,-30176,43.22,1,0.0256018083591596,-0.0459826840862675,0,-0.0319756506275435,0.0239817379706576,-0.954985268120226,
2000-03-10,-0.16,1395.06994628906,6.38700008392334,171.1,4718,4.1,-30176,43.22,1,-0.00472286696339275,-0.0504883809501011,0,-0.0319756506275435,0.0266463755229529,-0.984985268120226,
2000-03-11,-0.16,1395.06994628906,6.38700008392334,171.1,4718,4.1,-30176,43.22,1,0,-0.0504883809501011,0,-0.0319756506275435,0.0293110130752482,-0.984985268120226,
2000-03-12,-0.16,1395.06994628906,6.38700008392334,171.1,4718,4.1,-30176,43.22,1,0,-0.0504883809501011,0,-0.0319756506275435,0.0319756506275435,-0.984985268120226,
2000-03-13,-0.16,1383.61999511719,6.36199998855591,171.1,4718,4.1,-30176,43.22,1,-0.00820743877562002,-0.058281439430193,0,0,0.0293110130752482,-0.16,
2000-03-14,-0.17,1359.15002441406,6.2979998588562,171.1,4718,4.1,-30176,43.22,1,-0.0176854705695783,-0.0749361753179759,0,0,0.0266463755229529,-0.17,
